t_s,t_min,CORE,WINDING,CORE2,WINDING2
20,0.33,25,25,21.7,21.5
40,0.67,30.5,28,27.5,29
60,1.00,32,34.8,29,33.5
80,1.33,33.1,37.6,30,36.2
100,1.67,33.9,39.3,31.8,38
120,2.00,35.1,42.5,34,40.1
140,2.33,38,44.1,36,42.1
160,2.67,39.4,45.7,37.5,44.5
180,3.00,40.7,46.6,38.7,45.7
200,3.33,41.5,47.1,40.1,46.3
220,3.67,43.5,47.4,41.5,46.6
240,4.00,44.3,47.6,43.2,47.1
260,4.33,45.5,48,44.6,50.3
280,4.67,46.8,51.9,45.6,50.3
300,5.00,47.6,52.3,46.1,49.2
320,5.33,48.6,53.3,46.8,50
340,5.67,49.5,53.3,47.5,51.7
360,6.00,50.1,50.7,48.1,49.9
380,6.33,51,51.1,49.3,51.5
400,6.67,51.6,53.7,49.1,52.5
420,7.00,51,54.7,51.4,53.4
440,7.33,51.4,55.1,52.4,51.8
460,7.67,53.2,56.5,52.5,53
480,8.00,54,53.5,53,52.6
500,8.33,54.2,53.7,53.2,55
520,8.67,54.4,57.2,53.4,52.9
540,9.00,55,57.3,54.6,56.1
560,9.33,55.3,55.2,55.6,56.7
580,9.67,56.3,56.4,55.6,56.7
600,10.00,56.6,56,55.7,57
620,10.33,56.4,56.5,57.8,57.3
640,10.67,56,57,58,58.8
660,11.00,57,58.7,60.8,59.1
680,11.33,58.8,58.9,60.5,58.8
700,11.67,58.6,58.6,60,59.1
720,12.00,58.6,57.6,59.7,59.5
740,12.33,56.2,58.9,61.4,59.3
760,12.67,58.7,58.8,61,59
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
